topicName,subtopic,sub-subgroup,tweet,hashtags,emojis,Date
Art and Entertainment,Social Media,YouTube,RT @vickyisburning1: @danisnotonfire Louise is vicious oh my lord,,,8-Oct-14
Sports,Football,,"RT @nflnetwork: Cam: 1st QB w/ 30+ pass TDs &amp; 10+ rush TDs in an NFL season.

And there's still ""an awful lot of room to grow."" - RR https://t.co/wfYd46uQ8j",,,15-Aug-16
Art and Entertainment,Music,,RT @mrjoshkerr: @Drake views from S6 @swfc @Unit3Sessions https://t.co/j9WV0fGy8B,,,14-Aug-12
Art and Entertainment,Radio,,"RT @heatradio: We've gone #Beyonce crazy!
For a chance to #WIN @beyonce's new album 'Lemonade' RT and follow @heatradio 👑🐝🍋 https://t.co/9be0SbTOUb","Beyonce,WIN","crown,bee,lemon",21-Jan-15
Art and Entertainment,Music News,,"RT @OneDrecti0nFans: I DID JUST MAKE A PHOTOSET OF HARRY WITH HIS HANDS BEHIND HIS BACK YES 

https://t.co/Vup8cWv5PD",,,5-Apr-14
Art and Entertainment,Music,,RT @ibieberauhlls: FACE SWAP FILTER IM LAUGHING @AlfredoFlores @justinbieber @NickDeMoura 😂 https://t.co/vWc7WONrX3,,joy,31-Aug-13
Sports,Auto Racing,,"RT @FIAWEC: ✉️ Postcard from @Paris by @FordFrance @FordPerformance @24hoursoflemans and #WEC. 

#LeMans24 #Paris #arcdetriomphe https://t.co/sH0g4RKDA1","WEC,LeMans24,Paris,arcdetriomphe",email,19-Dec-13
Art and Entertainment,Music,,"RT @FifthHarmony: YOU GUYS we're coming to Mexico!!! • Fan pre-sale tomorrow, general on-sale 7/15! https://t.co/FHSMaFVzxA",,,24-Oct-14
Sports,Formula 1,,RT @MercedesAMGF1: Time to wake up the beasts..... #F1 #AustrianGP https://t.co/9rRQlXDIpq,"F1,AustrianGP",,7-Sep-14
Art and Entertainment,Social Media,,RT @MAGCONTOUR: WOAH! @RealChrisMiles is on the Top Songs list on Musical.ly! Let's get him to number ONE?! Tweet us your musicals! https://t.co/ostQIod2Vj,,,3-Feb-14
Art and Entertainment,Radio,,@theharryfisher @EmmaWillis say hello to bae for me ❤️,,heart,20-Apr-13
Art and Entertainment,Music,,RT @NiaLovelis: twins pt. 2 @MirandaMiller 📷 : @RenaLovelis #theevolution https://t.co/fRfYPZlUxT,theevolution,camera,11-Mar-15
Art and Entertainment,,,RT @Nashgrier: It's hotter than a peruvian puff pepper,,,5-Sep-13
Art and Entertainment,Music,,RT @SnoopDogg: Just posted a video https://t.co/kNQ9ROCmRi,,,23-Sep-13
Art and Entertainment,Music,,RT @justinbieber: Great day with @JaxonBieber #family,family,,11-May-14
Art and Entertainment,Social Media,YouTube,RT @Caspar_Lee: Come &amp; hang out with me and Joe when we bring #HitTheRoadUSA to a city near you! UK https://t.co/DYpc7bFObR Aus &amp; NZ https://t.co/qdF08L8bve,HitTheRoadUSA,,21-Dec-13
Sports,Wrestling,,RT @ZackRyder: This week I wrestled on RAW...NXT...SmackDown......I do it all. #StillHere @WWE @wwenxt @mojorawleywwe #HypeBros https://t.co/DYwIg35MtQ,"StillHere,HypeBros",,30-Apr-14
Sports,Wrestling,,hello my name is Matthew I am a huge fan of @WWE I was wondering would it be possible to have gorgeous @SJP to guest star on @WWE please,,,30-Mar-12
Art and Entertainment,Social Media,YouTube,RT @EthanDolan: I don't thank you all enough.. I don't think I can honestly ever thank you enough.,,,7-Aug-16
Sports,Wrestling,,RT @WWE: .@XavierWoodsPhD went one-on-one with The #PhenomenalOne @AJStylesOrg... and it definitely wasn't booty! #SmackDown https://t.co/5RFFCXSS7v,"PhenomenalOne,SmackDown",,24-Sep-12
Sports,Soccer,,RT @NiallOfficial: Huge day of Irish sport. First up @FAIreland v Belgium and then straight after South Africa v ireland in the rugby. Can't wait . #COYBIG,COYBIG,,29-Feb-12
Sports,Basketball,,"congrats @ThonMaker14 
@Bucks https://t.co/DrywlvjVOn",,,24-Jan-13
Art and Entertainment,Music,,RT @michaelbuble: US Friends! @GooglePlay are giving you a free download of my album #ToBeLoved thru July 15th. RT to tell ur friends! https://t.co/GLvgIUFqMi,ToBeLoved,,20-May-14
Art and Entertainment,,,RT @PerezHilton: THIS @JimmyKimmelLive skit proves no one actually read @HillaryClinton’s emails! WATCH! https://t.co/RSnRX4OmGj https://t.co/dpxOZ0uJuP,,,21-Nov-13
Sports,Basketball,,"RT @minnesotalynx: See you on Tuesday, @LA_Sparks. https://t.co/8AzXwELURV",,,6-May-14
Sports,Sports News,,RT @SuperSportTV: Barcelona have signed 22-year-old France defender Samuel Umtiti from Olympique Lyon on a five-year contract. https://t.co/ADIYemwSQQ,,,29-Oct-14
Art and Entertainment,Music,,RT @NormaniKordei: Reppin that 🤘🏽with my babe @JJWatt #99 #texansnation #houstonsfinest https://t.co/Z1ladreNFR,"texansnation,houstonsfinest",,16-Nov-12
Sports,Wrestling,,@RicFlairNatrBoy Ric your daughter still loves you no matter what,,,13-Jul-12
Art and Entertainment,Social Media,YouTube,"GO WATCH &amp; SUBSCRIBE!!

I love you sm, please follow me? 

@GraysonDolan @EthanDolan 
#DolanTwinsNewVideo 
https://t.co/H3f7hcmiPD 💕7",DolanTwinsNewVideo,two_hearts,17-Sep-12
Sports,Basketball,,@KingJames congrats my man..... U played a great series and deserve all the best,,,15-Mar-14
Art and Entertainment,Movies and TV,TV,@TheVampsband @BGT @ITV2_BGMT cutie,,,16-Oct-13
Art and Entertainment,Music,,"RT @BBMAs: Backstage with this beauty, @LaurenJauregui! 💗 #5HBBMAs #BBMAs https://t.co/pKRVJliydv","5HBBMAs,BBMAs",heartpulse,3-Dec-14
Art and Entertainment,Movies and TV,TV,"RT @enews: One of Miranda Lambert's special properties in Oklahoma has a new owner, Blake Shelton: https://t.co/QvWDXyjVdF https://t.co/vSCmGL8FY4",,,4-Nov-14
Sports,Football,,@andrea_mclean aw! So glad you enjoyed the show I can't wait to see them on Sunday night @wembleystadium woo! X,,,10-Jul-12
Sports,Mixed Martial Arts,,"RT @UFCONFOX: Anderson Silva explains why he's not retiring any time soon 
https://t.co/ch9uclI8S6
#UFC #UFC198 @SpiderAnderson https://t.co/o92mx0SKaA","UFC,UFC198",,7-Apr-13
Art and Entertainment,Movies and TV,Comedy,@russellhoward fancy joining me on a training run along the Thames sometime?  #AskRussell,AskRussell,,18-May-14
Sports,Soccer,,"RT @LukaszFabianski: Important victory! A bit battered, but happy. 💪👌😊",,"muscle,ok_hand,blush",13-May-12
Sports,Rugby,,"RT @EnglandRugby: 61' AUS 7 - 13 ENG
12 tackles, 3 gainline breaks and a try: Hartley is the #IBMTryTracker Key Influencer after 60...
https://t.co/q1FdQh73Se",IBMTryTracker,,29-Apr-15
Art and Entertainment,Music,,I think God likes @beyonce and @rihanna,,,8-Feb-15
Art and Entertainment,Radio,,RT @ShawnMendes: You guys are the best ! @BBCR1 @claraamfo  @Chris_Stark @MattEdmondson  @gregjames  @grimmers #TrackOfTheDay 😊,TrackOfTheDay,blush,5-Mar-15
Sports,Soccer,,RT @BSchweinsteiger: We are all ready! #EURO2016 https://t.co/6F5Et3Jt22,EURO2016,,1-Jul-13
Art and Entertainment,Music,,"RT @greysonchance: My new EP ""Somewhere Over My Head"" is out now on iTunes &amp; Spotify!!
https://t.co/a792B0vOqN https://t.co/VZvyPw40qf",,,8-Oct-13
Art and Entertainment,Music,,RT @CapitalOfficial: WATCH: @ConorMaynard covers @Drake &amp; @Rihanna's #TooGood and he basically nailed it... https://t.co/CgrxGG1CSo,TooGood,,18-Aug-15
Sports,Soccer,,RT @WayneRooney: Happy 3rd Birthday to my son Klay! 🎂🎉👬🐢 https://t.co/JoLgOOeA0I,,"birthday,tada,two_men_holding_hands,turtle",18-Jul-14
Sports,Soccer,,RT @FootyHumour: Pretty accurate... https://t.co/sG2CYFnXqG,,,20-Oct-12
Art and Entertainment,Music,,RT @BBMAs: Peace signs backstage at the #BBMAs with @ArianaGrande ✌️ https://t.co/e0yR4DQACE,BBMAs,v,22-Jan-15
Sports,Soccer,,"RT @ManUtd: Next up, we're off to Wembley for the FA Cup final! #mufc https://t.co/cl47egC07E",mufc,,12-Aug-16
Sports,Soccer,,RT @rioferdy5: Payet.....cor blimey. Happy feet!!,,,19-Oct-13
Art and Entertainment,Music,,thank you @Spotify for introducing me to @troyesivan two years ago. you have no idea how obsessed I am now because of that.,,,6-Jun-12
Art and Entertainment,Social Media,Vine,"RT @BrentRivera: honestly, you are beautiful. stop telling yourself you aren't",,,21-Nov-14
Art and Entertainment,Music,,RT @TigerBeatNow: @TheVampsJames shares his thoughts on bullying: https://t.co/l5N2KNU7SM,,,5-Jun-16
Art and Entertainment,Social Media,YouTube,@ConnorFranta @jccaylen @TrevorMoran omfg but now only I saw that tweet tho bc I never seen that before haha,,,22-Mar-16
Art and Entertainment,Social Media,YouTube,"Look at these smiles tho 😍😍😍
@camerondallas @AaronCarpenter https://t.co/yOPG9qBPpZ",,"heart_eyes,heart_eyes,heart_eyes",13-Feb-13
Sports,Mixed Martial Arts,,"RT @billburr: Cleveland wins a championship!
Congrats to @stipemiocicufc UFC 198!",,,25-Mar-12
Art and Entertainment,Music,,@KatyB OMG your snapchat story was so cute of you as a bee🐝😭😂,,"bee,sob,joy",30-Jul-15
Sports,NASCAR,,"RT @JimmieJohnson: I don't even know where to begin...
@scottdixon9  @TonyKanaan 
#OnlyInIndy https://t.co/HWNbmh0PGY",OnlyInIndy,,29-Oct-12
Sports,Football,,@AaronRodgers12 proud to be #CuttingTheCheese,CuttingTheCheese,,21-Sep-13
Art and Entertainment,Entertainment News,,RT @extratv: Queens! 👑 @dinahjane97 @AllyBrooke @NormaniKordei #FifthHarmony #WangoTango https://t.co/L35sIkKL40,"FifthHarmony,WangoTango",crown,11-Jan-13
Sports,Soccer,,RT @Boro: FULL TIME! WE HAVE DONE IT! MIDDLESBROUGH FOOTBALL CLUB IS BACK IN THE PREMIER LEAGUE! https://t.co/OgOA0iIKFq,,,7-Apr-16
Sports,Tennis,,"RT @bbctennis: From Tennis Head 🎾 to Strawberry Man 🍓 

Go behind the scenes at #Wimbledon:

https://t.co/7YpDQa36Nx https://t.co/audTkGZaFr",Wimbledon,"tennis,strawberry",9-Aug-14
Art and Entertainment,Movies and TV,TV,"RT @bbceastenders: It’s last orders for Peggy, but there's so much more to come. Don’t miss a second. #EELastOrders #EastEnders
https://t.co/YXa61GINdI","EELastOrders,EastEnders",,12-Jun-15
Art and Entertainment,,,RT @TheMattEspinosa: mentally tired,,,10-Aug-16
Sports,Sports News,,"RT @BBCSporf: BREAKING: Steve Bruce reacts to Hull promoted to the Premier League.
https://t.co/Utggrawvcl",,,5-Mar-14
Sports,Sports News,,@Beetoores @tancredipalmeri mar is full of arab scum FACT,,,12-Jul-13
Sports,Soccer,,"RT @FCBayernUS: . @ManCity please instruct your players to wait until final-whistle for the jersey swap. 

#FCBMCFC
#FCBayern https://t.co/In6m3k867A","FCBMCFC,FCBayern",,29-Aug-13
Art and Entertainment,Music,,RT @JAIneilledallas: Even if ur just chillin in ur room its PERFECT!! SOUNDS AMAZING 🎧🎵🎶 @James_Yammouni https://t.co/29GGh7WV9L,,"headphones,musical_note,notes",19-May-14
Art and Entertainment,Music,,RT @Ashton5SOS: Me as a powerpuff gal/boi https://t.co/yYvn3YDcub,,,22-Oct-12
Sports,Auto Racing,,"RT @Marylag97: Snow Patrol - Chasing Cars #GreysAnatomy 😭 @GreysABC 
I don't quite know
How to say
How I feel
@PatrickDempsey https://t.co/yPkgWo5qn9",GreysAnatomy,sob,31-May-15
Sports,Basketball,,"RT @HEELZiggler: Take that Halleys Comet! Congrats #CLEVELAND
@cavs ARE WORLD CHAMPIONS! All of Cleveland has ALWAYS been #ALLin216 #NBAFinals","CLEVELAND,ALLin216,NBAFinals",,18-Feb-15
Sports,Formula 1,,RT @redbullracing: Great to see @Louis_Tomlinson onboard the @RedBull Energy Station ahead of qualifying! #MonacoGP #F1 https://t.co/wKOFeN9tTN,"MonacoGP,F1",,9-May-16
Sports,Football,,"RT @GilletteStadium: Kenny Chesney's #SpreadTheLoveTour kicks off today! RT/follow to enter to win 8/26 show tix!
https://t.co/rLApvGjEqS https://t.co/p2P7deksfw",SpreadTheLoveTour,,29-Sep-13
Art and Entertainment,Music,,RT @MarinasDiamonds: Today is for LGBT PRIDE! https://t.co/OJUnAmEQgy,,,28-Jul-16
Sports,Soccer,,RT @Louis_Tomlinson: @NiallOfficial @socceraid but where's the coaching vibe come from ? I assume you've got all your badges !?,,,9-Jul-13
Art and Entertainment,Movies and TV,Movies,RT @ChloeGMoretz: Everyone in this industry needs to get their heads out of a hole and look around to realize what's ACTUALLY happening in the REAL world,,,23-Feb-16
Sports,Auto Racing,,RT @Daniel_SuarezG: Look who added their name to the @NASCARonNBC wall here in Charlotte! ✒️ https://t.co/xWAGQB5APq,,black_nib,17-Sep-13
Sports,Cricket,,"RT @drramansingh: Welcome once again #IPL to our land #Raipur #Chhattisgarh. Good luck to the players of @DelhiDaredevils, @SunRisers &amp; @RCBTweets teams.","IPL,Raipur,Chhattisgarh",,29-Mar-15
Art and Entertainment,Music,,@ShawnMendes YOU LOOK SO HOT WHAT THE FUCK😍 SLAY BABEEEE,,heart_eyes,2-Apr-13
Art and Entertainment,Radio,,RT @OnAirRomeo: 📻 TONIGHT! @arianagrande and @troyesivan join us PLUS we have your chance to see @zaynmalik at… https://t.co/NL55FbiX75,,radio,25-Aug-15
Art and Entertainment,,,RT @danisnotonfire: about to get incredibly moist with @amazingphil 👬💦 https://t.co/DkQai6HpfD https://t.co/Aam2ZsdITJ,,"two_men_holding_hands,sweat_drops",29-Oct-13
Art and Entertainment,Music,,RT @mmanuelbiei: @Ashton5SOS I remember when you  was 21,,,19-Jan-14
Sports,Sports Apparel,,"RT @champssports: Kids #Jordan Retro 6 ""Cool Grey"" launches Saturday in stores and online. https://t.co/8d1lq7Bo6G",Jordan,,8-Jun-13
Art and Entertainment,Music,,I am broadcasting LIVE right now on #Mixlr. Tune in: https://t.co/5h6DiHo5UY  @davidguetta,Mixlr,,9-Jan-15
Art and Entertainment,Comics and Animation,,"RT @gerardway: Here is the first #DCYoungAnimal update!
https://t.co/Q7cuazsply https://t.co/kiIHmwg7kW",DCYoungAnimal,,24-May-13
Art and Entertainment,Music,,RT @ShawnMendes: GOODMORNING!,,,13-Feb-13
Sports,Sports News,,"RT @espn: Change of opponent two days before? No problem. 

Cormier defeats Silva by unanimous decision at #UFC200. https://t.co/FfA1zgIBfw",UFC200,,6-Jul-13
Sports,Soccer,,RT @FootballVines: The guy who jumps off the table 😂 https://t.co/ZiMy4FT9z1,,joy,27-Nov-13
Sports,Wrestling,,RT @BellaTwins: Our Inner Marilyn's 💋#HappyBirthdayMarilyn https://t.co/aZmrIFsZ4X,HappyBirthdayMarilyn,kiss,17-Apr-14
Art and Entertainment,Comedy,,"RT @FootyHumour: Eric Cantona: You can change your wife, your politics, religion. But you can't change your favourite football team. https://t.co/NMLdwgLL4T",,,28-Jul-14
Art and Entertainment,Music,,"RT @Julie_Ansel: @Michael5SOS If you look closely enough, you'll see your name written in things you like &amp; are, do you like it? :) x https://t.co/aHIFj6d3Wx",,,27-Feb-14
Sports,Soccer,,Remember any of these? Five embarrassing @England defeats after loss against #ISL https://t.co/KipQa0cAzd https://t.co/MyKgMNNWBM,ISL,,6-Jun-16
Art and Entertainment,Music,,RT @AllyBrooke: Last night was wild :) Thank you @iHeartRadio for everything! 👁❤️U 4eva,,heart,17-Aug-15
Sports,Soccer,,"RT @realmadriden: 58' GOOOOOOOOOOAL by @Cristiano!!! | Real Madrid 3-1 Valencia

#RMLiga #HalaMadrid https://t.co/aoQ57szN08","RMLiga,HalaMadrid",,19-Jul-16
Art and Entertainment,Movies and TV,,RT @MTVScream: A brand new #MTVScream starts RIGHT NOW on @MTV. RT if you're joining me 😱😱😱 https://t.co/jkTPH9TP33,MTVScream,"scream,scream,scream",13-Mar-15
Art and Entertainment,Social Media,YouTube,RT @KathCim: I rlly want chicken nuggets 😭🐓,,"sob,rooster",16-Dec-12
Sports,Soccer,,"FA Cup, Scottish Cup, German Cup, Italian Cup - all finals on TV today. 👍🏾⚽️📺 @SkyFootball @btsportfootball @BBCMOTD",,"+1,soccer,tv",1-Mar-15
Sports,Basketball,,"RT @Jumpman23: ""If we had lost, I would have been devastated."" #GreatnessOvercomes

Relive the moment: 🕘 9PM EST 📺 ESPN Classic. https://t.co/vQeEegiZxY",GreatnessOvercomes,"clock9,tv",16-Feb-13
Art and Entertainment,Music,,RT @rylandlynch: Fresh start,,,18-Sep-14
Sports,Soccer,,RT @ollyofficial: The new lad @fizzer18 wanted a cuppa?! #Welcometotheteam #SoccerAid #England #TeamBanter 😂 https://t.co/vqbYRZIdEb,"Welcometotheteam,SoccerAid,England,TeamBanter",joy,5-Oct-14
Sports,Baseball,,RT @Yankees: Hey NYC! @CNCOmusic will sing the National Anthem on 5/24 🎤🙌🇺🇸 cc: @Yankees_Beisbol Tix: https://t.co/Ttb6rRsYTX https://t.co/rsD2LIQk7R,,"microphone,raised_hands,us",16-Mar-13
Art and Entertainment,Music,,@NiallOfficial i just wanna get your follow crush *blushing*,,,6-May-12
Art and Entertainment,Music,,RT @iamjojo: Oh my! 😉 https://t.co/RssKrrTgPi,,wink,2-Jul-15
Sports,Basketball,,"RT @warriors: The Dubs had no shortage of ""did-you-see-that"" type of plays this season. Check out some of the best of the best.
https://t.co/ies9v6DNYv",,,31-Oct-14
Sports,Wrestling,,#WWEPayback - @WWERomanReigns vs @AJStylesOrg - there are so many ways this match can end!,WWEPayback,,4-Nov-12
Sports,Soccer,,"RT @UEFAEURO: Portugal are the first team in the #EURO2016 semi-finals. 

Who will join them? https://t.co/Ynf3hFp3BK",EURO2016,,4-Dec-12
Sports,Mixed Martial Arts,,RT @BaronCorbinWWE: @MojoRawleyWWE @RobGronkowski @goon356 I am surprised @NateDiaz209 didn't choke you out.,,,6-May-12
Art and Entertainment,Music,,RT @zaynmalik: Lingo skills down  https://t.co/knfgsxSrbH,,,20-Jan-13
Sports,Soccer,,"RT @EASPORTSFIFA: Two new  #TOTS available today!

Russian League: https://t.co/Ho3F1WoCel
LATAM: https://t.co/edOhmfL1As https://t.co/pof7GZLDJg",TOTS,,30-Jan-14
Sports,Sports News,,RT @BleacherReport: Fly like an eagle 😂 (via jakethecake45/Instagram) https://t.co/yYOyPdLXXs,,joy,18-Feb-14
Art and Entertainment,Music,,RT @Real_Liam_Payne: So proud of her tonight 😘😘such a special award #GlobalGiftGala https://t.co/lZFr2SAzdP,GlobalGiftGala,"kissing_heart,kissing_heart",21-Feb-16
Art and Entertainment,Music News,,RT @joshdemoravia: @musicnews_facts when will new romantics,,,10-Jan-12
Art and Entertainment,,,"Who remembers when Joe, @MarcusButler, @Caspar_Lee, Alfie and Jim performing a @mcflymusic classic for Sport Relief. https://t.co/hQIp7L9n6I",,,20-Dec-14
Art and Entertainment,Music,,@NewHopeGeorge @NewHopeReece well most of the time,,,10-Jun-16
Art and Entertainment,Music,,@JacobWhitesides @mix961sa @LukasGraham @BebeRexha did you just buy your own ticket for the concert?😂,,joy,30-Oct-14
Art and Entertainment,Music,,RT @halsey: according to GMA 60% of voters consider trump unfavorable. 53% consider Hillary unfavorable. don't pick the lesser of 2 evils. #feelthebern,feelthebern,,24-Feb-13
Art and Entertainment,Music,,RT @NiallOfficial: What are all you lovely people doing today /this evening ?,,,7-Apr-16
Sports,Wrestling,,RT @WWE: The No. 1 Contender for the @WWE World Heavyweight Championship @AJStylesOrg is set for action NEXT on #RAW! https://t.co/8xhgnDLERe,RAW,,25-Dec-13
Sports,Wrestling,,@WWE @NatbyNature @BeckyLynchWWE most of the time this statement is so true,,,7-Apr-13
Art and Entertainment,Social Media,YouTube,#TeenChoicer     #ChoiceMuser  never stop dreaming    @jacobsartorius! x102,"TeenChoicer,ChoiceMuser",,31-Aug-13
Sports,Wrestling,,RT @JoRrisS11: What a night the Best ovation of the night is for Paige thank you for this amazing show. @RealPaigeWWE https://t.co/X4ylunm1hg,,,12-Nov-12
Sports,NASCAR,,"RT @RIRInsider: RETWEET for your chance to win a hat signed by @mattkenseth!

#TOYOTAOWNERS400 https://t.co/MFYKTQ5EnS",TOYOTAOWNERS400,,2-Mar-16
Art and Entertainment,Movies and TV,TV,RT @KeeganAllen: Tomorrow https://t.co/dJcNfZ3CyE,,,30-Jan-14
Art and Entertainment,Social Media,YouTube,"RT @taylorcaniff: TWEET THIS FOR A FOLLOW RT FOR A FOLOW!!! 

My #TeenChoice for #ChoiceSnapchatter is @taylorcaniff","TeenChoice,ChoiceSnapchatter",,14-May-13
Sports,Basketball,,"RT @sicksports: . @warriors fans all morning, and for the next two weeks while waiting for injury updates. #GetWellSteph https://t.co/wcmUFMDRw4",GetWellSteph,,10-Aug-12
Sports,Cricket,,"RT @NiallOfficial: @JustinRose99 @ShaneWarne @RossDesmond #myhandicapwillneverbescratchanywhereintheworld .having said that , I'm playing good at the moment",myhandicapwillneverbescratchanywhereintheworld,,10-Jan-15
Art and Entertainment,Music,,"RT @Angus_OL: Wanna see the handsome faces of @Luke5SOS @Michael5SOS @Calum5SOS @Ashton5SOS

The boys talk #GirlsTalkBoys

Watch: https://t.co/2J6UFobUOT",GirlsTalkBoys,,16-Jul-12
Art and Entertainment,Music,,"RT @jamieoborne: . @Gdans1975 is ok, he's just sad he's gonna miss some shows over next few weeks while his shoulder heals. Slipped getting off tour bus...",,,24-Dec-12
Art and Entertainment,Social Media,YouTube,RT @EthanDolan: I love my family,,,16-Oct-15
Sports,Auto Racing,,RT @FIAformulaE: Subscribe to the FIA Formula E Championship youtube account to see amazing stunts! https://t.co/V8MsUgnwIf,,,1-Nov-12
Art and Entertainment,Music,,RT @MindlessCougar: #OfficialMBCovers done by our very own @Miss_Guess_Who @MikeRiverMusic @theoneprinceton @iamelijahj @OfficialMBMusic https://t.co/UQxQfLnfZk,OfficialMBCovers,,2-May-13
Sports,Soccer,,"RT @futcentral21: Everyone retweet and take a vote on who is going to win the euro! 

@EASPORTSFIFA @DNR_CREW 

https://t.co/QAOwtxMSwa",,,31-May-14
Sports,Soccer,,"RT @UEFAEURO: Elite strike force...

Antoine Griezmann: 6 goals, 2 assists
Olivier Giroud: 3 goals, 2 assists

#FRA #EURO2016 https://t.co/lrVo83yhry","FRA,EURO2016",,13-Feb-14
Art and Entertainment,Movies and TV,TV,"RT @5HonTour: ""The Life"" is featured in an ad for @itv2 (via @cambello_) https://t.co/Z9kgKTfAFE",,,10-Apr-12
Sports,Sports News,,"RT @BleacherReport: Kyrie Irving scores 26 as the Cavaliers defeat the Pistons 101-91, and take a commanding 3-0 series lead https://t.co/i3ysBJGdkr",,,9-Dec-12
Art and Entertainment,Entertainment News,,RT @people: Harry Styles reveals his new haircut 😱 https://t.co/UZ8RFwWPnN via @People_Style https://t.co/NftPySPB2u,,scream,26-May-12
Sports,Basketball,,"RT @WindhorstESPN: The Bulls are in talks to send Mike Dunleavy to the Cavs, sources told ESPN",,,8-Dec-13
Art and Entertainment,Movies and TV,,@AmericanIdol @bandsforever015 Cool! I still have my daughter's @dearmothica @AmericanIdol shorts! 2008! https://t.co/sKxZIgrCni,,,2-Jun-12
Sports,Soccer,,"RT @carras16: Gonna miss this fella.
All great things come to an end I suppose
He's gonna make a top manager
Good luck mate 👍🏼 https://t.co/1DH4HFIboT",,1,2-Jun-15
Sports,Ice Hockey,,RT @RFabbri15: Okay @NHLonNBCSports you caught me👆🏼👃🏼 https://t.co/zvrJqoXLMG,,"point_up_2,nose",1-Jun-12
Art and Entertainment,Music,,@TheTide @TheTideLevi @TheTideDrew @TheTideNate @TheTideAustin I NEVER SAW YOU GUYS IN PERSONAL🙀🙀🙀🙀😭😭😭😞😞😞😞,,"scream_cat,scream_cat,scream_cat,scream_cat,sob,sob,sob,disappointed,disappointed,disappointed,disappointed",11-Jul-13
Sports,Sports News,,"RT @TeleFootball: Who is #Arsenal's new signing Granit Xhaka?
https://t.co/qnPeovuoaP https://t.co/04zs39JLFK",Arsenal,,18-Jun-16
Sports,Basketball,,"RT @warriors: ""Our defense was the key to everything tonight."" https://t.co/ZVoBTBTHsf",,,18-May-16
Art and Entertainment,Music News,,"RT @OneDrecti0nFans: Never let this die. No matter how much they change, they will always be terrible, terrible dancers

https://t.co/5qjHDxYoUg",,,17-Sep-15
Art and Entertainment,Comedy,,RT @danielsahyounie: @BrooksBeau and I just chilling in the sun https://t.co/Gzgtt5GRxu,,,29-Aug-16
Sports,Basketball,,"RT @warriors: Halftime 📊:

@andre ➡ 13pts/2reb/3asst/1stl
@KlayThompson ➡ 11pts/3asst/1stl
@andrewbogut ➡ 6pts/6reb/1stl
@StephenCurry30 ➡ 6pts/5asst/1stl",,bar_chart,12-Dec-13
Art and Entertainment,Music,,RT @HaileeSteinfeld: cereal is life,,,22-Nov-14
Art and Entertainment,Music,,"RT @5SOS: Ferry to Tallinn, Estonia. Ready for the show tonight ! https://t.co/N0ZTWjtW55",,,21-Jan-15
Art and Entertainment,Social Media,,"RT @DamnRealPosts: If you find a girl that is willing to go through hell just to keep the relationship going, you really shouldn't take her love for granted.",,,20-Jul-16
Sports,Wrestling,,@WWE @JohnCena Lose to heath,,,28-Jan-14
Art and Entertainment,Music,,RT @Rylan: Good luck beauty X @RochelleHumes  https://t.co/7XIUPlW1S2,,,3-Aug-16
Art and Entertainment,Social Media,,"RT @UberFacts: Researchers have found that more than 20% of the English-speaking population hates the word ""moist.""",,,5-Oct-15
Art and Entertainment,Music,,RT @ddlovato: I wrote and recorded #BodySay a couple weeks ago and wanted you guys to hear it right away…whats the point in waiting anymore,BodySay,,21-Dec-13
Sports,Soccer,,RT @Cristiano: When you believe you achieve ✌👍🔝⚽️ https://t.co/hmGmosOTLI,,"+1,top,soccer",17-Jun-15
Sports,Wrestling,,"RT @WWE: .@SteveAustinBSR asks @AJStylesOrg: Who is ""The Phenomenal One?"" 
#StoneColdPodcast @WWENetwork  https://t.co/gYX6Psxp9K",StoneColdPodcast,,7-Jun-13
Sports,Mixed Martial Arts,,RT @ufc: BREAKING: @TJDillashaw and @RaphaAssuncao collide again at #UFC200!! 👉 https://t.co/lEH56WBaah https://t.co/npkva0bRR4,UFC200,point_right,15-Apr-15
Sports,Basketball,,RT @PeterKash: Thx to the #QueenOfToronto aka. @IISuperwomanII for hitting me up on the radio and showing the 6 and the @Raptors some love tonight. #IVIVI,"QueenOfToronto,IVIVI",,19-Oct-15
Sports,Soccer,,"RT @socceraid: ""It's been banter central!"". @NiallOfficial on his rivalry with pal @Louis_Tomlinson 😂 https://t.co/T6QW6LY0rQ",,joy,23-Aug-14
Sports,Ice Hockey,,"RT @penguins: It's official. See you in Round 2, @washcaps! https://t.co/viEONZh69J",,,11-Mar-13
Sports,Bicycling,,RT @LeTour: Here's the 1st Heat Map of @letour! Check out how the UK was on fire today &gt; http://t.co/Kpqg2FhZXU @TwitterData #TDF http://t.co/FVBTyYrZVF,TDF,,21-Nov-12
Sports,Wrestling,,RT @WWENetwork: #TheBoss @SashaBanksWWE has made it clear that she's ready to take the #WomensChampionship on #RAW! #WWEDraft https://t.co/JPJo0yLasy,"TheBoss,WomensChampionship,RAW,WWEDraft",,11-Mar-16
Sports,Soccer,,RT @ManUtd: Let's put a Red on the #FIFA17COVER! Vote @AnthonyMartial: https://t.co/iovOuj7Bzm  #FIFA17MARTIAL https://t.co/Kc6fBCumBT,"FIFA17COVER,FIFA17MARTIAL",,4-Jan-12
Art and Entertainment,Music,,@Elanaburke @justinbieber I'm a hater?!? Really ok whatever helps you sleep at night,,,2-Dec-13
